Artist Name,Artist Genres,Popularity,Artist URL,Artist ID
Arijit Singh,"filmi, modern bollywood",91,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,4YRxDV8wJFPHPTeXepOstw
Alan Walker,electro house,82,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN,7vk5e3vY1uw9plTHJAMwjN
Timbaland,"dance pop, pop, pop rap",80,https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ,5Y5TRrQiqgUO4S36tzjIRZ
Tiësto,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance",84,https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z,2o5jDhtHVPhrJdv3cEQ99Z
AC/DC,"australian rock, hard rock, rock",83,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un
Led Zeppelin,"album rock, classic rock, hard rock, rock",77,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,36QJpDe2go2KgaRleHCDTp
Daft Punk,"electro, filter house, rock",83,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,4tZwfgrHOc3mvqYlEYSvVi
Future,"atl hip hop, hip hop, rap, southern hip hop, trap",93,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,1RyvyyTE3xzB2ZywiAwp0i
Adele,"british soul, pop, pop soul, uk pop",87,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY
A.R. Rahman,filmi,82,https://open.spotify.com/artist/1mYsTxnqsietFxj1OgoGbG,1mYsTxnqsietFxj1OgoGbG
The 1975,"modern alternative rock, modern rock, pop, pov: indie, rock",78,https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW,3mIj9lX2MWuHmhNCA7LSCW
Icon Dezz,"beats, trap beats",35,https://open.spotify.com/artist/3rjutJh8tOeQgwzPWyaNm0,3rjutJh8tOeQgwzPWyaNm0
Anuv Jain,"desi pop, hindi indie, indian indie, indian singer-songwriter",76,https://open.spotify.com/artist/4gdMJYnopf2nEUcanAwstx,4gdMJYnopf2nEUcanAwstx
Capital Cities,"metropopolis, modern rock",70,https://open.spotify.com/artist/4gwpcMTbLWtBUlOijbVpuu,4gwpcMTbLWtBUlOijbVpuu
Vedant Arora,,1,https://open.spotify.com/artist/5bycCBVWpCcnqFgTbR1xB5,5bycCBVWpCcnqFgTbR1xB5
Empire Of The Sun,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop",79,https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c,67hb7towEyKvt5Z8Bx306c
Udit Narayan,"chutney, filmi, odia pop",81,https://open.spotify.com/artist/70B80Lwx2sxti0M1Ng9e8K,70B80Lwx2sxti0M1Ng9e8K
Shankar Mahadevan,filmi,77,https://open.spotify.com/artist/1SJOL9HJ08YOn92lFcYf8a,1SJOL9HJ08YOn92lFcYf8a
Gunna,"atl hip hop, melodic rap, rap, trap",88,https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ,2hlmm7s2ICUX0LVIhVFlZQ
Nujabes,"downtempo, instrumental hip hop, japanese chillhop, japanese old school hip hop, jazz rap",67,https://open.spotify.com/artist/3Rq3YOF9YG9YfCWD4D56RZ,3Rq3YOF9YG9YfCWD4D56RZ
"Tyler, The Creator","hip hop, rap",93,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,4V8LLVI7PbaPR0K2TGSxFF
Martin Garrix,"dutch edm, edm, pop, pop dance, progressive house",77,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,60d24wfXkVzDSfLS6hyCjZ
Benny Dayal,"filmi, modern bollywood",72,https://open.spotify.com/artist/61if35zz1W11GejEkxTLEQ,61if35zz1W11GejEkxTLEQ
Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie",88,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,7Ln80lUS6He07XvHI8qqHH
Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",97,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg
Eyedress,"noise pop, pov: indie",77,https://open.spotify.com/artist/3XxNRirzbjfLdDli06zMaB,3XxNRirzbjfLdDli06zMaB
Beach House,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie",74,https://open.spotify.com/artist/56ZTgzPBDge0OvCGgMO3OY,56ZTgzPBDge0OvCGgMO3OY
Vishal Dadlani,"filmi, modern bollywood",75,https://open.spotify.com/artist/6CXEwIaXYfVJ84biCxqc9k,6CXEwIaXYfVJ84biCxqc9k
Charlie Puth,"pop, viral pop",81,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,6VuMaDnrHyPL1p4EHjYLi7
AP Dhillon,"desi hip hop, desi pop, punjabi hip hop, punjabi pop",76,https://open.spotify.com/artist/6LEG9Ld1aLImEFEVHdWNSB,6LEG9Ld1aLImEFEVHdWNSB
Ghost,"hard rock, metal",75,https://open.spotify.com/artist/1Qp56T7n950O3EGMsSl81D,1Qp56T7n950O3EGMsSl81D
Mithoon,"filmi, modern bollywood",75,https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6,09UmIX92EUH9hAK4bxvHx6
Farhan Akhtar,"filmi, modern bollywood",58,https://open.spotify.com/artist/0XL6ie7a0NY5FM05b9Rn5L,0XL6ie7a0NY5FM05b9Rn5L
Gajendra Verma,"desi pop, filmi, modern bollywood",65,https://open.spotify.com/artist/1yzgJmZf5CxtFfGfRFm4Si,1yzgJmZf5CxtFfGfRFm4Si
Twenty One Pilots,"modern rock, pop, pov: indie, rock",85,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,3YQKmKGau1PzlVlkL1iodx
Sabrina Carpenter,pop,94,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B
Imran Khan,"desi hip hop, desi pop, desi trap, pakistani hip hop",63,https://open.spotify.com/artist/24BYRlsS8uIO4jA71mJ4Js,24BYRlsS8uIO4jA71mJ4Js
Abhijeet,"filmi, modern bollywood",72,https://open.spotify.com/artist/2ZRrPOjBIWoKK5rHedLijj,2ZRrPOjBIWoKK5rHedLijj
Dire Straits,"album rock, classic rock, mellow gold, rock",78,https://open.spotify.com/artist/0WwSkZ7LtFUFjGjMZBMt6T,0WwSkZ7LtFUFjGjMZBMt6T
Them & I,,60,https://open.spotify.com/artist/7FGAlyRveFmDqEaAwqEzIT,7FGAlyRveFmDqEaAwqEzIT
Diljit Dosanjh,"filmi, modern bollywood, punjabi pop",82,https://open.spotify.com/artist/2FKWNmZWDBZR4dE5KX4plR,2FKWNmZWDBZR4dE5KX4plR
Zedd,"complextro, edm, german techno, pop, pop dance",76,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq,2qxJFvFYMEDqd7ui6kSAcq
Snowy White,british blues,57,https://open.spotify.com/artist/4DMlDJn7CPSSS0DuUf1vrH,4DMlDJn7CPSSS0DuUf1vrH
Black Sabbath,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal",75,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ,5M52tdBnJaKSvOpJGz8mfZ
The Neighbourhood,"modern alternative rock, modern rock, pop",86,https://open.spotify.com/artist/77SW9BnxLY8rJ0RciFqkHh,77SW9BnxLY8rJ0RciFqkHh
Bilal Saeed,"desi hip hop, desi pop, punjabi pop, sufi",63,https://open.spotify.com/artist/7hHDO4bJGlEaEHlY2lj1eZ,7hHDO4bJGlEaEHlY2lj1eZ
The Police,"album rock, classic rock, permanent wave, rock",79,https://open.spotify.com/artist/5NGO30tJxFlKixkPSgXcFE,5NGO30tJxFlKixkPSgXcFE
Lata Mangeshkar,"classic bollywood, filmi, lata",78,https://open.spotify.com/artist/61JrslREXq98hurYL2hYoc,61JrslREXq98hurYL2hYoc
Muse,"alternative rock, modern rock, permanent wave, rock",77,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI,12Chz98pHFMPJEknJQMWvI
Pineapple Express,"bangalore indie, hindi indie, indian fusion, indian indie",31,https://open.spotify.com/artist/68l0QuZV2CAaQqXP4o75fn,68l0QuZV2CAaQqXP4o75fn
Jimi Hendrix,"acid rock, album rock, alternative rock, classic rock, hard rock, proto-metal, psychedelic rock, rock",70,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,776Uo845nYHJpNaStv1Ds4
JVKE,"modern indie pop, pov: indie, singer-songwriter pop",77,https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK,164Uj4eKjl6zTBKfJLFKKK
Metallica,"hard rock, metal, old school thrash, rock, thrash metal",84,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,2ye2Wgw4gimLv2eAKyk1NB
