Artist Name,Artist Genres,Popularity,Artist URL,Artist ID
Ritviz,"indian indie, hindi indie, hindi pop, desi",54,https://open.spotify.com/artist/72beYOeW2sb2yfcS4JsRvb,72beYOeW2sb2yfcS4JsRvb
Icon Dezz,freestyle,32,https://open.spotify.com/artist/3rjutJh8tOeQgwzPWyaNm0,3rjutJh8tOeQgwzPWyaNm0
Benny Dayal,"bollywood, desi, hindi pop, desi pop",69,https://open.spotify.com/artist/61if35zz1W11GejEkxTLEQ,61if35zz1W11GejEkxTLEQ
The Local Train,"indian indie, hindi indie",60,https://open.spotify.com/artist/7b6Ui7JVaBDEfZB9k6nHL0,7b6Ui7JVaBDEfZB9k6nHL0
The Strokes,"garage rock, indie rock, alternative rock",75,https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,0epOFNiUfyON9EYx7Tpr6V
Vedant Arora,,0,https://open.spotify.com/artist/5bycCBVWpCcnqFgTbR1xB5,5bycCBVWpCcnqFgTbR1xB5
Empire Of The Sun,,76,https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c,67hb7towEyKvt5Z8Bx306c
Udit Narayan,"bollywood, hindi pop, desi",79,https://open.spotify.com/artist/70B80Lwx2sxti0M1Ng9e8K,70B80Lwx2sxti0M1Ng9e8K
Nujabes,jazz rap,64,https://open.spotify.com/artist/3Rq3YOF9YG9YfCWD4D56RZ,3Rq3YOF9YG9YfCWD4D56RZ
"Tyler, The Creator",,89,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,4V8LLVI7PbaPR0K2TGSxFF
Capital Cities,,67,https://open.spotify.com/artist/4gwpcMTbLWtBUlOijbVpuu,4gwpcMTbLWtBUlOijbVpuu
Timbaland,,77,https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ,5Y5TRrQiqgUO4S36tzjIRZ
Martin Garrix,"edm, electronica, progressive house",75,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,60d24wfXkVzDSfLS6hyCjZ
AP Dhillon,"punjabi hip hop, punjabi pop, desi, bhangra, desi hip hop, desi pop",74,https://open.spotify.com/artist/6LEG9Ld1aLImEFEVHdWNSB,6LEG9Ld1aLImEFEVHdWNSB
Ghost,"metal, hard rock",71,https://open.spotify.com/artist/1Qp56T7n950O3EGMsSl81D,1Qp56T7n950O3EGMsSl81D
Avicii,edm,82,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,1vCWHaC5f2uS3yhpwWbIA6
Oasis,"britpop, madchester, rock",77,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,2DaxqgrOhkeH0fpeiQq2f4
Mac DeMarco,indie,79,https://open.spotify.com/artist/3Sz7ZnJQBIHsXLUSo0OQtM,3Sz7ZnJQBIHsXLUSo0OQtM
Eyedress,,73,https://open.spotify.com/artist/3XxNRirzbjfLdDli06zMaB,3XxNRirzbjfLdDli06zMaB
Adele,soft pop,84,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY
Beach House,dream pop,72,https://open.spotify.com/artist/56ZTgzPBDge0OvCGgMO3OY,56ZTgzPBDge0OvCGgMO3OY
Vishal Dadlani,"bollywood, desi, hindi pop, desi pop",72,https://open.spotify.com/artist/6CXEwIaXYfVJ84biCxqc9k,6CXEwIaXYfVJ84biCxqc9k
Dr. Dre,"g-funk, gangster rap, west coast hip hop, hip hop, rap",79,https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7,6DPYiyq5kWVQS4RGwxzPC7
The Neighbourhood,,83,https://open.spotify.com/artist/77SW9BnxLY8rJ0RciFqkHh,77SW9BnxLY8rJ0RciFqkHh
Calvin Harris,edm,84,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY
Dire Straits,classic rock,76,https://open.spotify.com/artist/0WwSkZ7LtFUFjGjMZBMt6T,0WwSkZ7LtFUFjGjMZBMt6T
Farhan Akhtar,"bollywood, desi, hindi pop",55,https://open.spotify.com/artist/0XL6ie7a0NY5FM05b9Rn5L,0XL6ie7a0NY5FM05b9Rn5L
Bruno Mars,,94,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C
Gajendra Verma,"hindi pop, bollywood",62,https://open.spotify.com/artist/1yzgJmZf5CxtFfGfRFm4Si,1yzgJmZf5CxtFfGfRFm4Si
Twenty One Pilots,,82,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,3YQKmKGau1PzlVlkL1iodx
Don Toliver,,85,https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs,4Gso3d4CscCijv0lmajZWs
OneRepublic,soft pop,82,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,5Pwc4xIPtQLFEnJriah9YJ
Ed Sheeran,soft pop,86,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,6eUKZXaKkcviH0Ku9w2n3V
Sabrina Carpenter,,89,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,74KM79TiuVKeVCqs8QtB0B
Imran Khan,"bhangra, desi, punjabi pop, punjabi hip hop, desi hip hop, desi pop, bollywood",60,https://open.spotify.com/artist/24BYRlsS8uIO4jA71mJ4Js,24BYRlsS8uIO4jA71mJ4Js
Santana,,69,https://open.spotify.com/artist/6GI52t8N5F02MxU0g5U69P,6GI52t8N5F02MxU0g5U69P
Shankar Mahadevan,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",75,https://open.spotify.com/artist/1SJOL9HJ08YOn92lFcYf8a,1SJOL9HJ08YOn92lFcYf8a
Abhijeet,"bollywood, hindi pop",70,https://open.spotify.com/artist/2ZRrPOjBIWoKK5rHedLijj,2ZRrPOjBIWoKK5rHedLijj
Them & I,,58,https://open.spotify.com/artist/7FGAlyRveFmDqEaAwqEzIT,7FGAlyRveFmDqEaAwqEzIT
Diljit Dosanjh,"bhangra, punjabi pop, punjabi hip hop, desi, bollywood",78,https://open.spotify.com/artist/2FKWNmZWDBZR4dE5KX4plR,2FKWNmZWDBZR4dE5KX4plR
Snowy White,"blues, blues rock",53,https://open.spotify.com/artist/4DMlDJn7CPSSS0DuUf1vrH,4DMlDJn7CPSSS0DuUf1vrH
Black Sabbath,"metal, heavy metal, rock, stoner rock, hard rock, doom metal, classic rock",72,https://open.spotify.com/artist/5M52tdBnJaKSvOpJGz8mfZ,5M52tdBnJaKSvOpJGz8mfZ
Baby Keem,,75,https://open.spotify.com/artist/5SXuuuRpukkTvsLuUknva1,5SXuuuRpukkTvsLuUknva1
Bilal Saeed,"punjabi pop, desi, bhangra, desi hip hop",60,https://open.spotify.com/artist/7hHDO4bJGlEaEHlY2lj1eZ,7hHDO4bJGlEaEHlY2lj1eZ
The Police,,77,https://open.spotify.com/artist/5NGO30tJxFlKixkPSgXcFE,5NGO30tJxFlKixkPSgXcFE
Anuv Jain,"indian indie, hindi indie, hindi pop",72,https://open.spotify.com/artist/4gdMJYnopf2nEUcanAwstx,4gdMJYnopf2nEUcanAwstx
Muse,"alternative rock, rock",75,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI,12Chz98pHFMPJEknJQMWvI
Pineapple Express,"indian indie, hindi indie",29,https://open.spotify.com/artist/68l0QuZV2CAaQqXP4o75fn,68l0QuZV2CAaQqXP4o75fn
Jimi Hendrix,"psychedelic rock, classic rock, acid rock, blues rock",67,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,776Uo845nYHJpNaStv1Ds4
JVKE,,73,https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK,164Uj4eKjl6zTBKfJLFKKK
Metallica,"metal, thrash metal, rock, heavy metal, hard rock",81,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,2ye2Wgw4gimLv2eAKyk1NB
Lata Mangeshkar,"ghazal, bollywood, bhajan, hindi pop, marathi pop",76,https://open.spotify.com/artist/61JrslREXq98hurYL2hYoc,61JrslREXq98hurYL2hYoc
