track_name,artists,track_genre,album_name,Album Type,Total Tracks in Album,Available Markets,Album URL,Album Release Date,Track Duration (ms),popularity,Preview URL,explicit,External ID (ISRC),Track URL,Track Number,Track Type,Track URI,Is Local
Yeh Sham Mastani,"Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Kati Patang,album,16,IN,https://open.spotify.com/album/1TLgl5iaW4vmy7R9BrmOey,1970-01-01,276855,64,,False,INH109438860,https://open.spotify.com/track/6UeEm5XPsleVD85kNHCu1n,12,track,spotify:track:6UeEm5XPsleVD85kNHCu1n,False
"Pal Pal Dil Ke Paas - From ""Blackmail""",Kishore Kumar,"bangla pop, ghazal, hindi pop, bollywood","The Golden Years, Vol. 1",album,14,"AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",https://open.spotify.com/album/2Zzk6zrMzW0V5lPXdM1eRR,2013-01-01,328480,55,,False,INP100300046,https://open.spotify.com/track/71j40GUuIgwpEGmoupat2O,3,track,spotify:track:71j40GUuIgwpEGmoupat2O,False
Jai Jai Shiv Shankar,"Lata Mangeshkar, Kishore Kumar, R. D. Burman","ghazal, bollywood, bhajan, hindi pop, marathi pop, bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Aap Ki Kasam,album,6,IN,https://open.spotify.com/album/4YPVstRTfhGu3OIH1LwRTD,1974-04-17,337133,44,,False,INH109636790,https://open.spotify.com/track/6oZca81sE6EFdB34cPSAxu,4,track,spotify:track:6oZca81sE6EFdB34cPSAxu,False
Gaata Rahe Mera Dil,"Lata Mangeshkar, Kishore Kumar, S. D. Burman","ghazal, bollywood, bhajan, hindi pop, marathi pop, bangla pop, ghazal, hindi pop, bollywood, ghazal",Guide,album,10,IN,https://open.spotify.com/album/1I60Zkmz3nddV5WFOU6o2T,1965-12-06,292855,42,,False,INH109537850,https://open.spotify.com/track/6knyRBZ0lLQoFV0611RiNX,6,track,spotify:track:6knyRBZ0lLQoFV0611RiNX,False
Dekha Ek Khwab,"Lata Mangeshkar, Kishore Kumar","ghazal, bollywood, bhajan, hindi pop, marathi pop, bangla pop, ghazal, hindi pop, bollywood",Silsila,album,16,IN,https://open.spotify.com/album/7vLbhMgxPh61vW6beUZWn5,1981-07-29,320733,58,,False,INH109632500,https://open.spotify.com/track/5B29YNjG7dx0GfU19ZBEpo,11,track,spotify:track:5B29YNjG7dx0GfU19ZBEpo,False
Ek Ajnabee Haseena Se,"Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Ajanabee,album,4,IN,https://open.spotify.com/album/3ozn64E1BMlkTkquFBwyn2,1974-09-18,266145,63,,False,INH109243080,https://open.spotify.com/track/1mPNK9DQVA7gJNtJ20PZu3,3,track,spotify:track:1mPNK9DQVA7gJNtJ20PZu3,False
Mere Sapnon Ki Rani,"Kishore Kumar, S. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal",Aradhana,album,7,IN,https://open.spotify.com/album/6JMDMWGW8AZu0J2IRHUQWA,1969-09-27,300640,48,,False,INH109830980,https://open.spotify.com/track/098jYib9xwJFe6W4eIL5Ok,7,track,spotify:track:098jYib9xwJFe6W4eIL5Ok,False
Chhod Do Aanchal Zamana Kya Kahega,"Kishore Kumar, Asha Bhosle, S. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, marathi pop, bangla pop, bollywood, hindi pop, ghazal",Paying Guest,album,6,IN,https://open.spotify.com/album/4wAP1tDAOmmTYLhxiLHcJa,1956-01-01,250493,39,,False,INH109637120,https://open.spotify.com/track/4gSg57VPQCijuhSlyGq1hN,6,track,spotify:track:4gSg57VPQCijuhSlyGq1hN,False
"Kehdoon Tumhen - From ""Deewaar""","Kishore Kumar, Asha Bhosle, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, marathi pop, bangla pop, bollywood, hindi pop, ghazal, hindi pop, bangla pop, bollywood",Purani Jeans Kishore Collection (Vol.1),album,11,"AE, AM, AR, AT, AZ, BA, BB, BE, BH, BR, BS, BY, CL, CO, CW, CY, CZ, DE, DK, DZ, EE, EG, ES, FI, FJ, FR, GR, GY, HK, HR, HT, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KG, KW, KZ, LB, LK, LT, LU, LV, LY, MA, ME, MK, MX, MY, NL, NO, NZ, OM, PH, PK, PL, PT, QA, RO, RS, SA, SE, SG, SI, SK, TH, TJ, TN, TR, TT, TW, UA, UZ, VE, XK, ZA",https://open.spotify.com/album/47qD2FJ63mexaYJTKRmOoI,2013-01-01,221920,43,,False,INUM70500436,https://open.spotify.com/track/5frRYI0khL5GH9SF02iKSy,4,track,spotify:track:5frRYI0khL5GH9SF02iKSy,False
Chil Chil Chilla Ke,"Kishore Kumar, Salil Chowdhury","bangla pop, ghazal, hindi pop, bollywood, ghazal, malayalam pop, bangla pop",Half Ticket,album,7,IN,https://open.spotify.com/album/6C9i6NY9t0ZnE3kNNSqn4x,1962-01-01,256966,15,,False,INH109450390,https://open.spotify.com/track/3KGl4blYzuUqDKSNPLEV8f,6,track,spotify:track:3KGl4blYzuUqDKSNPLEV8f,False
